plazo,periodo_gracia,cuotas,cuotas_capital,tasa_indexacion,valor_credito
84,2,14,12,IBR,25000000.0
12,0,1,1,IBR,3910000.0
72,2,12,10,IBR,33000000.0
12,0,1,1,IBR,7790000.0
15,0,1,1,IBR,3500000.0
60,4,20,16,IBR,15000000.0
24,0,2,2,IBR,2560000.0
7,0,1,1,IBR,100000000.0
72,2,12,10,IBR,5000000.0
78,8,13,5,IBR,12000000.0
90,9,15,6,IBR,8000000.0
60,1,20,19,IBR,10000000.0
42,0,7,7,IBR,11886216.0
24,0,2,2,IBR,3300000.0
27,0,9,9,IBR,6827548.0
12,0,2,2,IBR,60000000.0
70,6,11,5,IBR,7000000.0
12,0,1,1,IBR,18000000.0
36,0,3,3,IBR,3000000.0
36,0,6,6,IBR,3000000.0
59,0,10,10,IBR,3333320.0
31,0,5,5,IBR,3210458.0
84,2,14,12,IBR,22750000.0
84,2,14,12,IBR,23000000.0
36,2,6,4,IBR,7642000.0
84,2,14,12,IBR,10000000.0
36,0,6,6,IBR,8000000.0
72,2,12,10,IBR,6000000.0
96,2,16,14,IBR,20000000.0
72,2,12,10,IBR,32000000.0
70,7,11,4,IBR,25000000.0
60,2,10,8,IBR,12000000.0
36,0,6,6,IBR,5000000.0
12,0,1,1,IBR,12000000.0
36,2,6,4,IBR,10000000.0
36,0,3,3,IBR,3000000.0
36,0,6,6,IBR,30000000.0
10,0,1,1,IBR,15000000.0
18,0,1,1,IBR,20000000.0
36,0,3,3,IBR,5000000.0
36,6,36,30,DTF,20000000.0
24,2,4,2,IBR,6990000.0
36,3,6,3,IBR,9000000.0
3,0,1,1,DTF,374210.0
4,0,1,1,DTF,748623.0
60,0,10,10,IBR,15000000.0
81,9,14,5,IBR,8000000.0
24,1,3,2,IBR,20000000.0
72,2,12,10,IBR,15000000.0
36,0,6,6,IBR,5500000.0
24,2,4,2,IBR,3200000.0
73,2,8,6,IBR,4000000.0
8,0,1,1,IBR,10000000.0
87,9,15,6,IBR,7200000.0
36,0,6,6,IBR,15000000.0
36,0,6,6,IBR,2500000.0
36,0,3,3,IBR,2900000.0
36,3,6,3,IBR,3000000.0
84,0,14,14,IBR,25000000.0
84,2,14,12,IBR,10000000.0
96,2,16,14,IBR,10000000.0
73,7,12,5,IBR,15985600.0
72,2,12,10,IBR,18000000.0
72,2,12,10,IBR,12000000.0
60,0,10,10,IBR,2000000.0
144,6,24,18,IBR,5600000.0
60,0,10,10,IBR,20000000.0
60,0,10,10,IBR,7000000.0
65,6,11,5,IBR,25000000.0
60,2,10,8,IBR,7000000.0
59,1,10,9,IBR,12936235.0
11,0,2,2,IBR,4172919.0
107,4,18,14,IBR,7500000.0
88,8,14,6,IBR,6000000.0
88,8,14,6,IBR,10000000.0
58,6,9,3,IBR,3500000.0
72,2,12,10,IBR,15000000.0
84,2,14,12,IBR,4000000.0
36,0,6,6,IBR,12000000.0
60,0,10,10,IBR,30000000.0
10,0,1,1,IBR,15000000.0
36,0,6,6,IBR,7000000.0
36,0,6,6,IBR,13000000.0
82,7,14,7,IBR,13124233.0
47,4,8,4,IBR,8000000.0
76,7,12,5,IBR,12400000.0
24,2,4,2,IBR,22000000.0
82,8,13,5,IBR,12000000.0
60,0,10,10,IBR,9000000.0
72,0,12,12,IBR,10500000.0
18,0,3,3,IBR,3620000.0
36,0,6,6,IBR,3400000.0
36,0,6,6,IBR,2000000.0
84,2,14,12,IBR,15000000.0
60,2,10,8,IBR,8000000.0
90,9,15,6,IBR,23000000.0
70,8,12,4,IBR,7785000.0
18,0,3,3,IBR,4410000.0
64,7,11,4,IBR,19000000.0
18,0,1,1,IBR,6000000.0
17,0,6,6,IBR,13125000.0
81,8,13,5,IBR,8600000.0
60,0,10,10,IBR,12000000.0
60,2,10,8,IBR,5500000.0
96,0,16,16,IBR,10000000.0
52,0,17,17,DTF,9319028.0
37,1,5,4,DTF,3912267.0
36,0,12,12,IBR,8000000.0
60,0,10,10,IBR,12000000.0
87,9,15,6,IBR,9000000.0
66,0,12,12,DTF,7996779.0
72,2,12,10,IBR,5200000.0
61,1,12,11,DTF,4677848.0
73,2,7,5,IBR,8000000.0
60,2,10,8,IBR,15300000.0
24,0,4,4,IBR,2000000.0
24,0,4,4,IBR,2750000.0
19,1,3,2,IBR,4000000.0
4,0,1,1,DTF,775000.0
72,0,12,12,IBR,12000000.0
81,9,14,5,IBR,6000000.0
72,0,12,12,IBR,17500000.0
12,0,1,1,IBR,10000000.0
81,8,13,5,IBR,7000000.0
93,9,15,6,IBR,18000000.0
70,7,12,5,IBR,18000000.0
